product_id,title,description
1403752491140336,2 Beds 2.5 Baths - Apartment,"Selling ASAP!! Will pay for March and April rent!
Men’s Apartment, 2 blocks south of BYU campus

I’m getting married in May, so I would love to sell this as soon as possible. Message me if you're interested! 

Available now!!

I am selling my contract for an Adams 4 floor plan at Liberty Square. This layout is incredibly spacious and my roommates are amazing!

The Space
* 2 full bathrooms on the second floor (one for each bedroom upstairs) plus a half-bath downstairs for guests.
* includes a large kitchen, walk-in pantry, and a huge living room perfect for hosting friends
* The unit is newly remodeled with modern paint, new flooring, and sleek black appliances.

Apartment Highlights
* ✨ Fully Furnished
* 🚀 Gigabit Internet & Google Fiber Ready
* 📺 New Flat Screen TVs Included
* 🍳 Large Kitchen with Dishwasher & Disposal
* 🛋️ Open Concept Living Area
* 🤝Super Chill Roommates

Community Perks
You’ll have access to some of the best amenities in the area:
* Relax: Swimming pool, brand new hot tub, and a gorgeous firepit.
* Play: Indoor basketball court, outdoor sport court, arcade table, pool, and ping pong.
* Work/Gym: 24-hour fitness center, computer lab, and clubhouse with an 80"" TV.
* Ease: Smart laundry facility, covered parking, and professional management.
* Church: Such a fun ward and awesome activities all summer!

Location: Liberty Square, Adams 4 
Price: $500/month"
1211489253831345,6 Beds 3 Baths - Apartment,"BEST PRICE IN COLLEGE PLACE
MY LOSS IS YOUR GAIN!

6 Beds 3 Baths - Apartment

737 N 900 E, Provo, UT [hidden information], United States

Selling College Place Contract – Most Popular Floor Plan!
Hey everyone! I’m selling my contract for a 6x3 at College Place in Provo, and honestly, this place has been amazing — I just need someone to take over my spot!
✨ Why You’ll Love It:
• $500/month – an awesome price for everything you get (Normally $730/month)
• Most popular and largest floor plan at College Place
• Comes with 2 fridges (total game-changer for having enough space!)
• Super clean apartment with awesome roommates
• Tons of space and storage — perfect for college living
💪 Amenities That Make It Stand Out:
• Full gym, so you don’t need a separate gym membership
• Hot tub for relaxing after a long day
• Amazing staff and management who actually care
• Great social scene and ward — seriously, the community here is top-notch
📍 Prime Location:
• Super close to campus, food spots, and everything you need
• Easy parking and super walkable area
If you’re looking for a clean, social, and convenient place to live, this is it. Message me for more details or to come check it out — this contract won’t last long!"
1649698982867446,Private Room For Rent,"Private, single male room/contract available for Fall/Winter 2026/2027. Across the street south of BYU and next door to UVX bus. The location is ideal! The apartment is clean and you will share the apartment with 2 great roommates! Washer/dryer in apartment."
4077640929155605,3 Beds 2 Baths - Apartment,"Men's Shared Room for Rent!
 $378/month (that includes utilities) 

I’m leaving on a mission 
• February & March rent already PAID - Over $1,000 in savings up front

Move in immediately 

• Liberty Square – Virginia 5 building
BYU/UVU student housing 

-  5 min walk to BYU
-  Next to UVX stop
-  Gym + laundry + parking garage
-  Great ward & roommates (seriously, such a great group of guys) 

• $504/month rent (~$615 with utilities) 
Factoring in already paid months rent is equivalent to $378 a month 

• Contract through Aug 7, 2026 (renewable)"
1317237666804485,2 Beds 1 Bath - Apartment,"LEASE TAKEOVER – Available March 1st – Orem Joseph Thomas Paradise Complex

MARCH RENT IS PAID
1 MONTH FREE RENT IN MARCH

Looking for someone to take over our lease starting March 1st. The contract runs through July 27th, with the option to renew. Clean, well-maintained unit managed by Joseph Thomas Real Estate.

We’ve loved living here! Only moving cause our family is growing. This place is great for singles and or young families!🏠

FINANCIALS:
• Rent: $1,295/month
• Deposit: $950 (Refundable) + $150 (Non-refundable initiation fee)
• Utilities: Tenant responsible (billed through portal/utility co) averages $80/month
• Application Fee: Paid directly to management

REQUIREMENTS (Non-Negotiable per Management):
• Credit Score: 650 minimum
• Income: 3x monthly rent ($3,885/mo) combined total
• In-Person Tour: Management requires you to see the unit in person before applying.
• Process: Must complete an online application + a brief questionnaire at the JTRE office (39 W 300 N, Provo).

LOCATION/AMENITIES:
* 2 streets from State Street, close to main road through Orem
* Stove, fridge, and dishwasher included
* 1 covered parking spot, 1 uncovered parking spot included, so much available parking for visitors and tenants
* Carport storage included at no additional cost
*Pets allowed 
* Washer/ Dryer Hook ups
* 5 minutes from UVU
* Easy access to multiple freeway entrances/exits

TOURS:
We are looking to move quickly. Message me with questions or to schedule an in-person tour!
[hidden information]"
1780597522628657,1 Bed 1 Bath - Apartment,"1 Bed 1 Bath - Apartment

https://www.zillow.com/homedetails/236-W-400-S-American-Fork-UT-84003/241990024_zpid/

Brand New! 1-Bedroom Basement Suite with Private Entrance

Unfurnished and move-in ready! This newly built 1-bedroom, 1-bathroom basement apartment features a full kitchen with brand new appliances, in-unit washer and dryer, open-concept living and dining area, and a private separate entrance.

Features Include:
1 bedroom
1 full bathroom
Full kitchen with brand new, stainless steel appliances (stove, oven, refrigerator, dishwasher and microwave)
In-unit washer and dryer
Private basement entrance

Ideal Location:
- Minutes from the I15 freeway, Target, Costco, Walmart & various dining/shopping options
- Walking distance to the American Fork Station
- Quiet, safe, and family-friendly residential neighborhood

Rent is $1300 /month plus split shared utilities. Expected utilities is roughly $150. 

Utilities: Split shared utilities for water, gas, electricity. Internet provided. 

Looking for a 12-month commitment, but flexible for the right tenant.

1st month's rent + security deposit ($1300) due upon signing.

No smoking. No pets. 

Background/credit check, proof of income required."
1227066268928559,2 Beds 2 Baths - Apartment,"LIBERTY SQUARE
SELLING MENS LEASE ASAP!! I’ll pay $200/mo towards the first three months of rent upfront!
I’m getting married so you will be able to move in as soon as needed. This apartment is awesome, super spacious, with tons of amenities. So sad to be leaving these roommates, they are awesome! Super respectful, social and clean. 

Amenities include:
- Walk in closet
- Massive TV
- Gym
- Laundry
- Pool
- Hot tub
- Rec room w pool table, piano, etc.
- Good storage space
- and more!

lmk if you are interested!!"
2036768847111106,3 Beds 2 Baths - Apartment,"FIRST MONTH FREE!
Stonebridge 2 apartments, downtown Provo only 1.5 miles from BYU. Selling single per bed contract for a shared bedroom. Unit includes two shared and one private room. Two bathrooms. Walking distance to many restaurants and the library. Nice walking neighborhood. Roommates are very nice and thoughtful. Currently there is no roommate in this shared room so for now it is private or a friend can buy the other contract! Free covered and uncovered parking right behind apartments. Laundry in unit is very convenient. What I liked the most in the apartment is the open living room and great counter space in the bathroom. This unit is on the bottom floor for easy access and no stairs.  Move in as early as end of January. Please message for more details"
2367167547039027,3 Beds 2 Baths - Apartment,"3 Beds 2 Baths - Apartment

1565 N University Ave, Provo, UT [hidden information], United States

Selling my shared female apartment contract at Glenwood!! Move in as soon as April 1st!! Rent is $490/month plus utilities. Roommates are super fun and social + the ward is amazing!! Glenwood is a great place for meeting people!! It’s just a 15min walk to BYU campus and a 15min drive to UVU campus. Seriously is such a nice place to live!! DM me if you’re interested!!"
2490102831449646,$500 off of Move In before 3/15/2026,"🏡 1-Bedroom Apartment Available before 3/15! 
Move into Rivulet Apartments! 

✨ Modern finishes | 📲 Smart home tech | 🐾 Pet-friendly | 🌅 Private patio/balcony

Community perks: 🏊 Pool & spa | 💪 24/7 fitness center | 🏀 Sports courts | 🌳 BBQ areas

Apply now at rivuletisyourhome.com

📲 Message for details on this limited offer"
